DisplayName,DisplayVersion,InstallDate
7-Zip 23.01 (x64),23.01,Unknown
AMD Chipset Software,8.05.04.516,Unknown
AMD Install Manager,26.10.26174.0747,2026-07-03
AMD Privacy View,1.02.0001,2026-02-05
AMD Software,26.6.2,Unknown
Android Studio,2024.3,Unknown
Antigravity 2.0.6,2.0.6,Unknown
Antigravity IDE (User),2.1.1,2026-06-27
Apache NetBeans IDE 25,25,Unknown
Aplikasi Microsoft 365 untuk perusahaan - id-id,16.0.20131.20112,Unknown
Brave,150.1.92.138,2026-07-09
Browser for SQL Server 2019,15.0.2000.5,2026-05-13
Canva,1.119.0,Unknown
CapCut,8.9.1.3802,Unknown
Chrome Desktop Jarak Jauh,1.0,2026-04-02
Chrome Remote Desktop Host,150.0.7871.19,2026-06-26
Cisco Packet Tracer 9.0.0 64Bit,9.0.0.810,2025-11-28
Comet,149.0.7827.1095,2026-06-29
Copilot,150.0.4078.48,2026-07-09
Cursor,3.0.9,2026-04-03
CyberLink Promeo,8.16.4718.0,Unknown
DBeaver 26.0.0 (current user),26.0.0,Unknown
Discord,1.0.9245,Unknown
Docker Desktop,4.51.0,Unknown
FFmpeg,8.0,2025-11-18
Foxit PDF Reader,2025.1.0.27937,2025-05-26
GDR 2130 for SQL Server 2019 (KB5046859) (64-bit),15.0.2130.3,2025-06-22
GDR 2135 for SQL Server 2019 (KB5058713) (64-bit),15.0.2135.5,2025-07-17
GDR 2140 for SQL Server 2019 (KB5063758) (64-bit),15.0.2140.1,2025-08-14
GDR 2145 for SQL Server 2019 (KB5065223) (64-bit),15.0.2145.1,2025-09-14
GDR 2155 for SQL Server 2019 (KB5068405) (64-bit),15.0.2155.2,2025-11-12
GDR 2160 for SQL Server 2019 (KB5077470) (64-bit),15.0.2160.4,2026-03-13
GDR 2165 for SQL Server 2019 (KB5084817) (64-bit),15.0.2165.1,2026-04-17
GDR 2170 for SQL Server 2019 (KB5090408) (64-bit),15.0.2170.1,2026-05-13
Git,2.50.0.2,2025-07-02
GitHub Desktop,3.5.4,2025-11-23
Google Chrome,150.0.7871.101,2026-07-10
Google Drive,127.0.1.0,Unknown
Grok,1.0,2025-12-16
GTK3-Runtime Win64,3.24.31-2022-01-04-ts-win64,Unknown
IBM SPSS Modeler Subscription,1.0.0.430,2026-05-09
ImageMagick 7.1.2-18 Q16-HDRI (64-bit) (2026-03-22),7.1.2.18,2026-04-11
Java(TM) SE Development Kit 23.0.2 (64-bit),23.0.2.0,2025-03-14
Kiro (User),0.12.224,2026-05-24
Laragon 8.6.1,8.6.1.260302,2026-04-11
Launch4j 3.50,3.50,Unknown
LibreOffice 24.8.1.2,24.8.1.2,2024-09-25
Mentari,1.0,2026-04-25
Microsoft 365 Apps for enterprise - en-us,16.0.20131.20112,Unknown
Microsoft Edge,150.0.4078.48,2026-07-04
Microsoft Help Viewer 2.3,2.3.28307,Unknown
Microsoft MPI (10.0.12498.5),10.0.12498.5,2025-06-21
Microsoft ODBC Driver 17 for SQL Server,17.10.6.1,2025-03-15
Microsoft OLE DB Driver for SQL Server,18.7.4.0,2025-03-15
Microsoft SQL Server 2012 Native Client ,11.4.7515.2,2025-03-15
Microsoft SQL Server 2019 (64-bit),N/A,Unknown
Microsoft SQL Server 2019 LocalDB ,15.0.2170.1,2026-05-13
Microsoft SQL Server 2019 Setup (English),15.0.4013.40,2025-03-15
Microsoft SQL Server 2019 T-SQL Language Service ,15.0.2000.5,2025-03-15
Microsoft SQL Server Management Studio - 20.2,20.2.30.0,Unknown
Microsoft Update Health Tools,5.72.0.0,2024-08-02
Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030,11.0.61030.0,Unknown
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40664,12.0.40664.0,Unknown
Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.44.35211,14.44.35211.0,Unknown
Microsoft Visual C++ v14 Redistributable (x64) - 14.50.35719,14.50.35719.0,Unknown
Microsoft Visual Studio Code (User),1.126.0,2026-06-26
Microsoft Visual Studio Installer,3.13.2069.59209,2025-04-17
Microsoft Visual Studio Tools for Applications 2019,16.0.31110,Unknown
Microsoft VSS Writer for SQL Server 2019,15.0.2000.5,2026-05-13
Migration Toolkit 55.7.0-1,55.7.0-1,2025-10-05
Mozilla Firefox (x64 id),148.0,Unknown
Mozilla Maintenance Service,140.0.1,Unknown
Nmap 7.98,7.98,Unknown
Node.js,22.14.0,2025-04-17
Notepad++ (64-bit x64),8.7.7,Unknown
Npcap,1.82,Unknown
Npgsql 3.2.6,3.2.6-3,2025-10-05
NVM for Windows 1.2.2,1.2.2,2025-11-18
OBS Studio,31.0.4,Unknown
Oracle VirtualBox 7.1.12,7.1.12,2025-10-04
OSD,1.2.2022.1216,2024-08-02
OSD 1.0.0.5,1.0.0.5,Unknown
Pandoc 3.6.4,3.6.4,2025-04-28
PDF24 Creator 11.23.0,11.23.0,2025-03-15
PEM-HTTPD 2.4.65,2.4.65-1,2025-10-05
PgBouncer 1.24.1,1.24.1-1,2025-10-05
pgJDBC 42.7.2,42.7.2-1,2025-10-05
Pippit,1.0,2026-03-20
Postgres Enterprise Manager Agent 10.2.0-1,10.2.0-1,2025-10-05
PostgreSQL 18 ,18.0-1,2025-10-05
Postman x86_64 11.49.4,11.49.4,2025-06-14
PowerToys (Preview) x64,0.91.0,Unknown
psqlODBC 13.02.0000,13.02.0000-1,2025-10-05
Python 3.12.5 (64-bit),3.12.5150.0,Unknown
Python 3.13.3 (64-bit),3.13.3150.0,Unknown
Python 3.14.4,3.14-64,2026-04-11
Python Launcher,3.13.3150.0,2025-04-17
Python Launcher,3.13.2150.0,2025-03-14
Tesseract-OCR - open source OCR engine,5.5.0.20241111,Unknown
TikTok,1.0,2025-10-19
Update for  (KB2504637),1,Unknown
Visual Studio Build Tools 2019,16.11.46,2025-04-17
Warp,v0.2026.04.15.08.45.stable_02,2026-04-19
WinDirStat,2.2.2,2025-06-14
Windows SDK AddOn,10.1.0.0,2025-04-17
Windows Software Development Kit - Windows 10.0.19041.685,10.1.19041.685,Unknown
Windows Subsystem for Linux Update,5.10.102.1,2025-03-15
Windscribe,2.17.9,2025-11-14
Windsurf (User),2.3.9,2026-05-22
Wispr Flow,1.4.822,2026-04-10
XAMPP,8.2.12-0,2026-04-25
YouTube,1.0,2025-11-08
Zoom Workplace,7.0.5 (38856),Unknown
